iter	Passed	Remaining
0	31	15935
1	46	11529
2	54	8976
3	61	7663
4	68	6830
5	90	7440
6	106	7498
7	116	7187
8	128	7033
9	139	6832
10	155	6910
11	174	7110
12	193	7258
13	207	7218
14	223	7231
15	235	7130
16	245	6971
17	253	6792
18	264	6704
19	274	6599
20	286	6527
21	296	6445
22	306	6362
23	317	6293
24	328	6236
25	338	6176
26	348	6108
27	364	6150
28	375	6100
29	383	6004
30	388	5883
31	395	5785
32	404	5723
33	415	5689
34	425	5654
35	433	5585
36	438	5488
37	443	5394
38	447	5293
39	454	5222
40	459	5140
41	466	5083
42	473	5029
43	478	4962
44	485	4908
45	491	4846
46	497	4792
47	505	4760
48	512	4716
49	518	4670
50	525	4626
51	532	4590
52	539	4551
53	545	4504
54	550	4455
55	555	4405
56	561	4366
57	570	4348
58	577	4312
59	582	4274
60	589	4241
61	597	4220
62	605	4197
63	612	4171
64	619	4144
65	627	4123
66	633	4092
67	640	4069
68	647	4047
69	654	4020
70	661	3995
71	667	3966
72	672	3936
73	682	3930
74	689	3906
75	696	3883
76	701	3853
77	706	3819
78	711	3789
79	716	3762
80	721	3734
81	730	3724
82	737	3704
83	747	3702
84	753	3679
85	763	3673
86	772	3665
87	781	3656
88	786	3633
89	793	3616
90	800	3598
91	807	3579
92	814	3564
93	821	3548
94	829	3534
95	835	3517
96	843	3504
97	850	3487
98	858	3477
99	864	3459
100	873	3449
101	879	3431
102	885	3411
103	891	3393
104	897	3377
105	908	3376
106	914	3359
107	927	3368
108	933	3348
109	941	3338
110	948	3325
111	956	3312
112	962	3297
113	970	3286
114	977	3271
115	986	3265
116	992	3247
117	999	3237
118	1007	3224
119	1013	3210
120	1021	3198
121	1028	3185
122	1035	3172
123	1039	3152
124	1046	3138
125	1054	3129
126	1061	3117
127	1072	3116
128	1079	3104
129	1086	3093
130	1093	3079
131	1100	3067
132	1105	3050
133	1112	3037
134	1119	3025
135	1125	3012
136	1132	3001
137	1139	2990
138	1147	2980
139	1155	2970
140	1161	2957
141	1168	2945
142	1174	2931
143	1182	2923
144	1189	2913
145	1197	2902
146	1202	2886
147	1208	2874
148	1214	2860
149	1229	2869
150	1234	2854
151	1242	2844
152	1248	2830
153	1253	2817
154	1260	2806
155	1266	2792
156	1274	2783
157	1279	2768
158	1285	2757
159	1294	2750
160	1300	2738
161	1307	2727
162	1313	2716
163	1320	2705
164	1325	2691
165	1332	2680
166	1339	2671
167	1345	2659
168	1355	2655
169	1363	2646
170	1370	2637
171	1377	2626
172	1384	2616
173	1390	2604
174	1396	2594
175	1407	2590
176	1413	2578
177	1420	2569
178	1427	2559
179	1435	2551
180	1440	2539
181	1448	2530
182	1455	2521
183	1462	2511
184	1470	2503
185	1477	2495
186	1485	2485
187	1493	2478
188	1501	2470
189	1510	2464
190	1519	2458
191	1526	2448
192	1532	2438
193	1539	2427
194	1545	2417
195	1550	2404
196	1557	2395
197	1564	2386
198	1571	2376
199	1578	2368
200	1585	2358
201	1592	2349
202	1597	2337
203	1604	2328
204	1611	2318
205	1617	2308
206	1625	2300
207	1633	2292
208	1638	2281
209	1647	2275
210	1654	2266
211	1662	2258
212	1668	2248
213	1675	2239
214	1682	2230
215	1689	2221
216	1696	2212
217	1703	2203
218	1710	2194
219	1717	2185
220	1724	2177
221	1731	2167
222	1738	2158
223	1744	2149
224	1750	2140
225	1756	2129
226	1763	2120
227	1768	2110
228	1773	2098
229	1779	2089
230	1789	2084
231	1797	2076
232	1805	2069
233	1814	2062
234	1821	2054
235	1827	2044
236	1835	2036
237	1841	2027
238	1848	2018
239	1854	2009
240	1861	2000
241	1868	1992
242	1875	1983
243	1883	1975
244	1890	1967
245	1897	1959
246	1903	1950
247	1910	1941
248	1918	1934
249	1927	1927
250	1936	1921
251	1942	1911
252	1950	1904
253	1957	1896
254	1964	1887
255	1972	1879
256	1979	1871
257	1985	1862
258	1992	1853
259	1999	1845
260	2006	1837
261	2014	1829
262	2021	1821
263	2028	1813
264	2035	1805
265	2043	1797
266	2050	1788
267	2056	1779
268	2063	1771
269	2072	1765
270	2079	1756
271	2084	1747
272	2092	1739
273	2099	1731
274	2106	1723
275	2112	1714
